epoch,test/success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.01
51,0.0
52,0.02
53,0.065
54,0.07
55,0.185
56,0.065
57,0.07
58,0.125
59,0.42500000000000004
60,0.375
61,0.5
62,0.475
63,0.37
64,0.28
65,0.75
66,0.5900000000000001
67,0.505
68,0.55
69,0.7050000000000001
70,0.685
71,0.72
72,0.75
73,0.7849999999999999
74,0.805
75,0.685
76,0.75
77,0.77
78,0.79
79,0.8049999999999999
80,0.8200000000000001
81,0.765
82,0.75
83,0.81
84,0.77
85,0.79
86,0.835
87,0.715
88,0.75
89,0.71
90,0.8200000000000001
91,0.855
92,0.825
93,0.805
94,0.845
95,0.815
96,0.875
97,0.775
98,0.8300000000000001
99,0.845