epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.2123543,0.0041521923,0.8567551,0.0038441739,0.0
1,0.212409,0.01788324,0.86465865,0.0016676731,0.0
2,0.2110531,0.049676288,0.8643381,0.00078100624,0.0
3,0.20708,0.06706895,0.8580344,0.00042791304,0.0
4,0.20663048,0.06308742,0.854459,0.0003568695,0.0
5,0.20501867,0.07039907,0.84780437,0.00021475415,0.0
6,0.2064715,0.06946795,0.84675413,0.00018494161,0.0
7,0.2069343,0.07716017,0.8480212,0.00017700088,0.0
8,0.2073265,0.08583676,0.8470927,0.00015170396,0.0
9,0.21259819,0.010501031,0.8719098,0.001787309,0.0
10,0.21263768,0.012138639,0.8719588,0.0017003001,0.0
11,0.21265125,0.011719755,0.8719904,0.001710095,0.0
12,0.21262634,0.011287554,0.8719475,0.001718464,0.0
13,0.21260977,0.010540796,0.872021,0.0017280147,0.0
14,0.21260566,0.009933304,0.872082,0.0017415024,0.0
15,0.21259919,0.009379237,0.8721254,0.001748418,0.0
16,0.21272665,0.009634615,0.8721753,0.00174871,0.0
17,0.21265158,0.0105202785,0.87229556,0.0017342813,0.0
18,0.21257102,0.010205767,0.8722984,0.0017226109,0.0
19,0.212567,0.009946155,0.8722939,0.0017039307,0.0
20,0.21261081,0.009705798,0.872269,0.0016987225,0.0
21,0.21260493,0.009354044,0.87231785,0.0017010468,0.0
22,0.21262713,0.009106829,0.87235254,0.0017110974,0.0
23,0.21261856,0.0087974,0.8723697,0.0017167333,0.0
24,0.21259765,0.00852247,0.8723738,0.0017188475,0.0
25,0.21258566,0.008250665,0.8723645,0.0017307558,0.0
26,0.21256754,0.008094431,0.8723828,0.0017355621,0.0
27,0.21257955,0.007844444,0.87247735,0.0017369892,0.0
28,0.21257442,0.0076225535,0.8725231,0.0017424455,0.0
29,0.21258193,0.0074622734,0.8725192,0.001745943,0.0
30,0.20529701,0.09906323,0.8352067,0.0003621171,0.06666666766007741
31,0.20436296,0.102639034,0.8308704,0.00051937386,0.4166666666666667
32,0.20400006,0.10559405,0.826829,0.0006878414,0.23333334922790527
33,0.2030715,0.10746142,0.82141095,0.00091499527,0.6499999841054281
34,0.20217727,0.108785465,0.81681424,0.0011026657,0.8000000317891439
35,0.20142622,0.10940756,0.81423765,0.0011765093,0.8166666666666666
36,0.201132,0.11046543,0.8117261,0.0012487174,0.7000000238418579
37,0.20071131,0.111621894,0.8092961,0.0013056402,0.7166666984558105
38,0.200121,0.111937664,0.8069005,0.0013580364,0.8166666030883789
39,0.1995511,0.11291723,0.804688,0.0014060304,0.7833333810170492
40,0.19885975,0.112891175,0.8028291,0.0014433232,0.8333333333333334
41,0.19841897,0.112955935,0.80123115,0.001463933,0.8333333333333334
42,0.19792502,0.11395557,0.7998757,0.0014767693,0.9166666666666666
43,0.19778737,0.114096634,0.7985671,0.0014909689,0.9833333492279053
44,0.19759266,0.114608265,0.7974086,0.0014937368,0.9833333492279053
45,0.19736283,0.115334824,0.7963379,0.001492378,0.9833333492279053
46,0.19728093,0.11556201,0.79566926,0.0014866592,0.9833333492279053
47,0.19724981,0.115473606,0.79490614,0.0014929055,0.9333333174387614
48,0.19705734,0.115885146,0.79435706,0.0014895834,0.9833333492279053
49,0.19709411,0.11629219,0.79396933,0.0014839057,0.9833333492279053
50,0.19703233,0.11623435,0.79341173,0.0014844512,0.9166666666666666
51,0.19685867,0.116853446,0.7929473,0.0014833886,1.0
52,0.19693737,0.116919726,0.7926138,0.0014779432,0.9833333492279053
53,0.19683877,0.11698946,0.79197925,0.0014758419,0.9666666984558105
54,0.1968522,0.11718915,0.7916054,0.0014723539,0.9333333174387614
55,0.19689007,0.11736506,0.79129475,0.0014697394,0.9833333492279053
56,0.19702883,0.11703148,0.7910707,0.0014718771,0.8499999841054281
57,0.19719405,0.11710236,0.7906998,0.0014709708,1.0
58,0.19726254,0.11683424,0.79000694,0.001478765,0.8833333651224772
59,0.19746251,0.11689921,0.7894798,0.0014718225,0.9499999682108561
60,0.19757068,0.11667533,0.78908855,0.0014715608,0.9833333492279053
61,0.19766884,0.11650175,0.78877425,0.0014722515,0.9833333492279053
62,0.19776888,0.116671465,0.7884597,0.001467649,1.0
63,0.19782187,0.11667815,0.78818816,0.0014671864,1.0
64,0.19783776,0.11645817,0.7878866,0.0014615334,0.9333333174387614
65,0.19784681,0.11662936,0.7874883,0.0014595689,0.9666666984558105
66,0.19780825,0.11682972,0.78725916,0.0014557185,0.9666666984558105
67,0.19790675,0.1168639,0.7870462,0.0014566099,1.0
68,0.19792119,0.11700345,0.7869409,0.001453789,0.9833333492279053
69,0.19795044,0.11685831,0.78668,0.0014594975,1.0
70,0.19803433,0.11710265,0.7866938,0.0014590392,0.9833333492279053
71,0.19816603,0.11717317,0.7868154,0.0014611976,1.0
72,0.19826148,0.117280304,0.7869015,0.0014661333,1.0
73,0.19837858,0.117034905,0.78691626,0.0014647316,0.9833333492279053
74,0.19861488,0.117012665,0.7869754,0.0014698267,0.9166666666666666
75,0.19860873,0.117050625,0.78697544,0.0014709495,0.9833333492279053
76,0.19852741,0.117255166,0.7867191,0.0014626138,1.0
77,0.19854109,0.11723078,0.7864795,0.001462517,1.0
78,0.19856277,0.11718944,0.7863714,0.0014671873,0.9666666984558105
79,0.19858994,0.11723038,0.78634334,0.0014648447,0.9166666666666666
80,0.19870436,0.11721425,0.7861919,0.0014612746,0.9833333492279053
81,0.19871846,0.117093965,0.7859848,0.0014553441,0.9833333492279053
82,0.19874431,0.116875276,0.78595424,0.0014533313,1.0
83,0.19874075,0.11697994,0.7858238,0.0014509867,0.9666666984558105
84,0.19887115,0.11696987,0.78581184,0.0014456221,1.0
85,0.19897835,0.116952345,0.785685,0.0014455904,0.9833333492279053
86,0.19895016,0.11688802,0.78544134,0.0014432305,1.0
87,0.19886611,0.11685256,0.78521544,0.0014403142,0.9833333492279053
88,0.19891457,0.11671914,0.78503585,0.0014393743,0.9499999682108561
89,0.19887748,0.11680996,0.78494614,0.0014426415,0.9666666984558105
90,0.19891275,0.11683156,0.78488404,0.0014443077,0.9833333492279053
91,0.19884336,0.11681751,0.7846547,0.0014393851,0.8166666030883789
92,0.19893955,0.11684923,0.7846045,0.0014388581,0.9166666666666666
93,0.19897446,0.11687575,0.7845364,0.0014402758,0.9833333492279053
94,0.19898349,0.11692315,0.7844248,0.0014379257,1.0
95,0.19909151,0.11683512,0.784358,0.0014350382,0.9666666984558105
96,0.19914429,0.11672525,0.78438807,0.0014378139,1.0
97,0.19916673,0.11665975,0.7843409,0.0014390303,0.9499999682108561
98,0.1991701,0.11659053,0.78429157,0.0014432013,0.9499999682108561
99,0.19915839,0.116606705,0.78416723,0.0014447757,1.0